ID,PHI,K,TP,TN,FP,FN,NHAM,NSPAM
1928,2.133265437,0.2662841294,801,760,3,22,804,782
1929,2.348723934,0.2893915622,972,884,3,24,975,908
1930,2.799801056,0.2580694651,758,798,1,33,759,831
1931,1.896942373,0.2856664012,653,679,2,21,655,700
1932,2.625708181,0.2226017383,1080,1067,5,30,1085,1097
1933,2.532096627,0.2379057728,1368,1380,8,41,1376,1421
1934,2.009169991,0.2451273292,1312,1295,8,43,1320,1338
1935,1.946534053,0.2370121409,618,560,1,9,619,569
1936,2.356174439,0.2067686831,1036,1042,5,22,1041,1064
1937,2.439802422,0.2342989484,959,980,2,36,961,1016
1938,2.222731328,0.2854813279,1532,1444,8,53,1540,1497
1939,2.523746816,0.2719368808,1407,1383,6,56,1413,1439
1940,2.207447718,0.2996993695,1538,1566,7,46,1545,1612
1941,2.608731089,0.2178913949,1317,1284,5,51,1322,1335
1942,2.61575646,0.2142468095,926,827,1,38,927,865
1943,2.236917804,0.2685451701,799,756,3,30,802,786
1944,2.622329876,0.2529592207,1233,1160,2,33,1235,1193
1945,2.16315767,0.2889286152,1077,1115,2,25,1079,1140
1946,2.421378845,0.2260731687,1259,1209,4,49,1263,1258
1947,2.54456288,0.2510942099,1010,956,8,22,1018,978
1948,2.685745608,0.2147412269,1580,1558,11,55,1591,1613
1949,1.817499702,0.2271824025,1325,1249,7,48,1332,1297
1950,1.872459636,0.2256226918,934,864,2,33,936,897
1951,2.251812018,0.2869655056,642,717,2,27,644,744
1952,2.783013472,0.2264393271,586,543,2,20,588,563
1953,2.243779215,0.279295449,1506,1404,6,46,1512,1450
1954,2.089528615,0.2541734279,1056,1027,4,29,1060,1056
1955,2.615149993,0.229131874,807,754,1,27,808,781
1956,1.838786121,0.2362670023,855,899,0,18,855,917
1957,1.916563086,0.2535776547,1363,1314,2,47,1365,1361
1958,2.273160835,0.2014959807,987,951,4,37,991,988
1959,2.327814816,0.2531705688,1514,1461,7,50,1521,1511
1960,2.073031839,0.2784347359,996,927,4,33,1000,960
1961,2.776485632,0.2343865452,881,830,5,23,886,853
1962,2.460078395,0.2268261896,1523,1557,11,59,1534,1616
1963,2.329420786,0.2558231279,1035,961,3,28,1038,989
1964,2.207182123,0.2757157019,764,787,0,30,764,817
1965,2.732451029,0.2101180623,1122,1114,3,33,1125,1147
1966,1.833983316,0.269614794,1295,1291,8,29,1303,1320
1967,1.926129041,0.2032059588,832,763,6,19,838,782
1968,2.504678684,0.2444888487,753,700,3,32,756,732
1969,2.405270406,0.2648873518,581,591,6,22,587,613
1970,2.647081475,0.2616812221,1323,1357,5,43,1328,1400
1971,1.860465616,0.2615066803,566,568,3,12,569,580
1972,2.050957103,0.2947408786,973,968,4,32,977,1000
1973,2.127595977,0.265340936,1430,1452,14,48,1444,1500
1974,2.563854102,0.2509388007,1126,1213,2,32,1128,1245
1975,1.940895171,0.2991286657,1339,1310,7,29,1346,1339
1976,2.008856312,0.2948663274,1393,1303,6,38,1399,1341
1977,2.615989464,0.2483609038,1046,1004,5,32,1051,1036
1978,2.721546696,0.2840321457,1130,1086,4,39,1134,1125
1979,2.320111268,0.2894708909,827,739,5,25,832,764
1980,2.695618217,0.2542188877,871,771,6,29,877,800
1981,1.964929627,0.2702090651,667,578,3,15,670,593
1982,2.634215526,0.2905553651,1162,1182,4,35,1166,1217
1983,2.620116109,0.2835412385,1119,1077,3,49,1122,1126
1984,2.214223201,0.2272702428,651,682,3,20,654,702
1985,2.546125007,0.209885169,1218,1164,3,24,1221,1188
1986,2.65775661,0.2834785541,1541,1532,9,59,1550,1591
1987,1.966283559,0.2851804308,1153,1162,6,40,1159,1202
1988,2.001859725,0.2207547939,1370,1342,5,42,1375,1384
1989,2.408225561,0.2330580029,1212,1121,7,42,1219,1163
1990,2.155334587,0.2890671825,823,829,3,19,826,848
1991,2.650208797,0.2990563945,1587,1509,12,55,1599,1564
1992,2.04275636,0.2561547215,880,900,3,30,883,930
1993,2.0822377,0.274813745,703,645,5,28,708,673
1994,2.492064739,0.2173880116,1275,1274,7,40,1282,1314
1995,2.354209099,0.2816908917,1186,1174,3,43,1189,1217
1996,2.242971125,0.256889781,1387,1360,9,41,1396,1401
1997,2.2814074,0.2072780294,624,564,3,15,627,579
1998,1.915907786,0.2459664919,611,584,1,21,612,605
1999,2.711044439,0.2701609743,988,946,6,28,994,974
2000,2.336820936,0.2517579149,967,968,3,30,970,998
2001,2.338678944,0.2380444668,992,968,4,45,996,1013
2002,2.7533541,0.2939046349,823,796,1,28,824,824
2003,1.863752018,0.2072299901,1175,1171,2,36,1177,1207
2004,2.38548345,0.2974888268,1615,1511,11,65,1626,1576
2005,2.154657265,0.2374013183,585,538,2,11,587,549
2006,2.025492067,0.2688118512,711,648,2,23,713,671
2007,2.03984191,0.2450454555,1177,1163,9,40,1186,1203
2008,2.268043286,0.2399408944,576,577,1,24,577,601
2009,2.532458152,0.275735838,875,883,5,25,880,908
2010,1.832335176,0.2643721885,751,741,5,29,756,770
2011,2.366067198,0.2968338243,1172,1127,4,37,1176,1164
2012,2.770289068,0.2617899669,1306,1294,4,47,1310,1341
2013,2.166632931,0.2970995096,1349,1320,7,48,1356,1368
2014,2.237499481,0.2434767553,1646,1555,14,51,1660,1606
2015,2.721135243,0.2767669501,1363,1380,9,45,1372,1425
2016,2.651198047,0.2346743981,1336,1331,4,46,1340,1377
2017,2.604765187,0.2503457195,1418,1428,8,64,1426,1492
2018,2.138768952,0.2704082946,1597,1513,6,40,1603,1553
2019,2.009084107,0.2950108822,643,625,6,20,649,645
2020,1.915396893,0.2671293415,990,826,8,33,998,859
2021,2.512044977,0.2072213685,904,850,7,35,911,885
2022,2.037629664,0.258133174,803,782,4,28,807,810
2023,2.317985549,0.2707847726,821,760,1,25,822,785
2024,2.543919844,0.2356744897,607,553,1,14,608,567
2025,2.498302887,0.2875792542,1217,1126,4,39,1221,1165
2026,2.684000096,0.2540614821,768,782,6,22,774,804
2027,2.713656458,0.2470559238,1647,1517,10,58,1657,1575
2028,2.695929763,0.2792868259,974,933,7,44,981,977
2029,2.029084613,0.2993694461,603,563,4,24,607,587
2030,2.048534325,0.262865461,580,603,1,14,581,617
2031,2.507158952,0.2141748662,1189,1113,4,35,1193,1148
2032,2.620775731,0.2552118609,1448,1404,4,51,1452,1455
2033,2.656604276,0.2085707672,811,806,4,26,815,832
2034,1.909772324,0.2790773706,1441,1411,6,50,1447,1461
2035,2.539007331,0.2845126523,1389,1373,6,54,1395,1427
2036,2.200008751,0.2258229265,1579,1490,8,55,1587,1545
2037,1.847257558,0.2542804035,623,605,1,24,624,629
2038,2.649197167,0.2293158372,803,763,1,28,804,791
2039,2.629747913,0.2597824599,1177,1171,5,44,1182,1215
2040,2.237274719,0.2389715732,587,572,3,17,590,589
2041,2.737750936,0.2446841337,955,938,6,27,961,965
2042,2.096740999,0.23684031,1393,1311,7,53,1400,1364
2043,2.364567044,0.2607276167,1035,1031,4,38,1039,1069
2044,2.073359836,0.2632771045,836,880,1,21,837,901
2045,1.89349713,0.2991427024,967,935,9,22,976,957
2046,2.784122876,0.2967306704,891,829,4,43,895,872
2047,2.496848804,0.2754689023,666,652,2,21,668,673
2048,2.569073145,0.2199544077,794,803,4,27,798,830
2049,2.653719332,0.2739005245,1268,1245,2,35,1270,1280
2050,2.546875805,0.2421833691,591,589,2,24,593,613
2051,2.351216338,0.2823590102,1196,1170,3,43,1199,1213
2052,2.630896815,0.2191005043,586,576,4,16,590,592
2053,2.376563759,0.2519397842,687,660,7,20,694,680
2054,2.696411514,0.2468928424,1023,909,4,35,1027,944
2055,1.823377013,0.2419623449,1437,1276,7,35,1444,1311
2056,2.483268114,0.2766939556,1303,1219,4,47,1307,1266
2057,2.019390271,0.210286759,1418,1320,8,46,1426,1366
2058,2.185955244,0.2203439734,911,865,7,31,918,896
2059,1.987022032,0.2772396221,1293,1244,6,43,1299,1287
2060,2.199120207,0.2070913658,1298,1234,6,43,1304,1277
2061,2.158206109,0.2549236508,922,847,10,30,932,877
2062,2.143291547,0.2737004812,1563,1541,8,49,1571,1590
2063,2.489207922,0.2733674345,1597,1545,11,58,1608,1603
2064,2.211070338,0.2539665772,667,664,4,23,671,687
2065,2.473590909,0.2923272382,1305,1250,6,39,1311,1289
2066,2.252154139,0.2435060752,1441,1427,10,52,1451,1479
2067,1.912284256,0.259624164,1384,1315,7,35,1391,1350
2068,1.810551825,0.2031359088,1564,1529,7,50,1571,1579
2069,2.58651136,0.295374485,1106,1039,2,41,1108,1080
2070,1.950924756,0.243846952,700,661,1,22,701,683
2071,2.557758338,0.2751461353,661,657,5,38,666,695
2072,1.960519171,0.2172677486,1123,1069,8,29,1131,1098
2073,2.126369226,0.2948767136,954,976,5,33,959,1009
2074,1.949501847,0.2237668108,1558,1604,8,57,1566,1661
2075,1.83795946,0.2158602234,679,635,6,32,685,667
2076,2.699881802,0.279386849,852,882,3,33,855,915
2077,2.266643839,0.2643306265,931,960,4,32,935,992
2078,2.00117923,0.2549242289,1360,1324,10,41,1370,1365
2079,2.04327878,0.2404498767,1223,1231,5,50,1228,1281
2080,2.550200604,0.236704504,568,598,1,16,569,614
2081,2.385417282,0.2624320941,1597,1448,4,57,1601,1505
2082,1.83243962,0.2895452938,1405,1372,7,35,1412,1407
2083,2.104718361,0.2962123816,941,895,3,32,944,927
2084,2.026243089,0.221215135,1160,1135,4,33,1164,1168
2085,2.443812554,0.2030496829,1212,1153,4,32,1216,1185
2086,2.491551843,0.2331234214,1033,1022,3,34,1036,1056
2087,2.051738221,0.2959149146,1542,1562,8,46,1550,1608
2088,2.73840339,0.2735731559,1110,1031,2,34,1112,1065
2089,1.849149805,0.2790169304,1518,1483,5,56,1523,1539
2090,1.981549703,0.2961316007,944,942,4,25,948,967
2091,2.283338251,0.2768882627,1306,1258,9,42,1315,1300
2092,2.017289834,0.2921327939,1083,1032,4,42,1087,1074
2093,2.319755556,0.2446703348,1415,1347,6,45,1421,1392
2094,2.65658707,0.2666420976,1459,1466,5,38,1464,1504
2095,2.308357603,0.2603375092,778,733,5,26,783,759
2096,2.3275116,0.2831602999,891,864,2,31,893,895
2097,1.886262016,0.2118445523,640,579,0,19,640,598
2098,2.472878037,0.2740584039,727,758,3,22,730,780
2099,2.548560817,0.2833171598,1379,1335,11,52,1390,1387
2100,1.843529226,0.2918846013,814,745,5,26,819,771
2101,1.823163436,0.2759103939,1181,1213,5,37,1186,1250
2102,2.158006703,0.2636880028,1629,1511,6,59,1635,1570
2103,2.715441335,0.2962671524,976,953,0,26,976,979
2104,2.424002417,0.2247555318,1334,1296,4,30,1338,1326
2105,2.732602992,0.2250195001,1565,1502,15,46,1580,1548
2106,2.15416565,0.2469682567,606,587,3,20,609,607
2107,2.684009201,0.229655718,1393,1300,4,47,1397,1347
2108,1.833184767,0.2037710432,818,799,3,24,821,823
2109,2.168521482,0.2242236511,1478,1393,7,50,1485,1443
2110,2.559031655,0.2381039859,1355,1326,6,52,1361,1378
2111,2.107138213,0.2995086866,1115,1036,9,36,1124,1072
2112,2.632830384,0.2959925574,692,682,2,20,694,702
2113,2.48787481,0.230433193,947,984,5,21,952,1005
2114,2.706398914,0.2472440405,1190,1150,6,34,1196,1184
2115,2.448437113,0.2608921981,1564,1564,11,44,1575,1608
2116,2.217213829,0.2175507827,793,738,4,24,797,762
2117,2.417060447,0.2884399533,1444,1429,6,54,1450,1483
2118,2.7332943,0.2348478647,985,971,6,21,991,992
2119,2.016920897,0.2663930863,1155,1202,2,39,1157,1241
2120,2.100386053,0.2320761605,622,597,2,26,624,623
2121,2.424396127,0.2145298113,1362,1326,11,48,1373,1374
2122,2.561754527,0.2211681694,1097,997,7,36,1104,1033
2123,2.715459051,0.2805064317,582,591,3,24,585,615
2124,2.400438398,0.2702218074,1002,1103,7,33,1009,1136
2125,2.615198494,0.250188669,1203,1147,6,32,1209,1179
2126,2.609390082,0.2923985924,1176,1159,8,52,1184,1211
2127,2.1537413,0.2269645164,566,571,3,15,569,586
2128,2.312537654,0.2994828861,705,655,4,30,709,685
