ID,PHI,K,TP,TN,FP,FN,NHAM,NSPAM
924,2.248892433,0.2183757632,1356,1318,8,44,1364,1362
925,2.04907338,0.363175817,1355,1341,5,37,1360,1378
926,1.900008351,0.2505705815,746,796,4,30,750,826
927,1.914994314,0.2125777408,752,772,3,33,755,805
928,1.960332036,0.1589573585,1421,1332,6,42,1427,1374
929,2.175968776,0.4308862681,1386,1342,3,46,1389,1388
930,1.835506513,0.1545706897,1410,1320,11,51,1421,1371
931,2.101640939,0.001385927879,1281,1244,6,33,1287,1277
932,1.862082403,0.1431327578,1592,1493,8,54,1600,1547
933,2.282423884,0.331472554,1227,1227,7,45,1234,1272
934,1.960064977,0.1132449071,959,966,1,30,960,996
935,1.711415603,0.145587447,729,693,1,21,730,714
936,2.219671322,0.2103315124,686,662,5,24,691,686
937,1.951922843,0.4428255691,1236,1149,9,45,1245,1194
938,1.805337162,0.4370681307,586,559,1,24,587,583
939,1.932540344,0.02494724735,821,728,8,16,829,744
940,1.89266444,0.1030740025,1077,1034,5,30,1082,1064
941,2.233691619,0.3548529903,1078,1044,7,27,1085,1071
942,2.155168092,0.2981916136,1374,1333,7,37,1381,1370
943,2.191849545,0.0200031729,1440,1314,15,41,1455,1355
944,2.210258262,0.230704837,739,793,5,23,744,816
945,1.75383444,0.4417300096,781,797,4,27,785,824
946,2.017249727,0.169831796,937,885,6,30,943,915
947,2.274159568,0.4348129838,1570,1561,10,51,1580,1612
948,1.764817643,0.1493815592,1391,1351,3,33,1394,1384
949,1.801178804,0.1489529397,879,855,3,30,882,885
950,1.883700737,0.2488920735,1120,1013,5,43,1125,1056
951,2.109892804,0.0465736471,791,772,1,20,792,792
952,2.149636718,0.2330917532,881,917,4,29,885,946
953,1.966201255,0.3256878799,1546,1491,7,57,1553,1548
954,1.986117811,0.1105828939,1157,1145,5,30,1162,1175
955,1.927851156,0.2976106658,1533,1523,7,50,1540,1573
956,2.017003039,0.1030869566,1184,1166,7,35,1191,1201
957,2.164635471,0.1159380003,603,597,3,21,606,618
958,1.911623108,0.2495066007,1263,1303,6,34,1269,1337
959,1.749041259,0.2734566746,1006,922,4,27,1010,949
960,2.015744937,0.2065347657,968,922,2,28,970,950
961,2.216759736,0.2569403301,895,900,3,31,898,931
962,2.026270202,0.4745586458,793,783,5,21,798,804
963,1.890088507,0.2514336891,1450,1376,9,51,1459,1427
964,1.944846317,0.228199751,1515,1472,6,49,1521,1521
965,1.913164138,0.3343564611,677,710,2,17,679,727
966,2.126172582,0.3812590266,1113,1060,6,31,1119,1091
967,1.851110444,0.4119525414,1234,1126,7,35,1241,1161
968,1.924976451,0.08759019905,696,675,2,17,698,692
969,2.253287345,0.4478679826,799,746,7,25,806,771
970,1.894844883,0.4441882588,1237,1182,5,45,1242,1227
971,1.756570935,0.4420806397,789,796,4,28,793,824
