id,phi,k,TP,TN,FP,FN
48,472,521,2,4,9,3
49,855,240,4,5,5,1
50,51,682,1,3,7,2
51,745,119,13,12,1,3
52,807,346,6,13,6,3
53,693,41,11,1,0,5
54,605,645,8,11,12,5
55,824,398,14,8,2,5
56,247,95,7,11,4,4
57,254,593,5,9,7,7
58,905,447,7,4,0,4
59,839,290,6,5,0,3
60,664,31,12,6,0,6
61,755,69,8,5,0,4
62,237,740,3,5,5,5
63,379,504,6,3,5,5
64,988,1,5,1,0,4
65,33,46,4,5,0,6
66,394,338,15,5,2,6
67,938,969,4,3,0,1
68,177,229,16,2,2,3
69,728,838,12,11,6,5
70,72,816,3,3,4,1
71,572,256,14,7,1,5
72,577,88,7,4,0,0
73,903,894,11,11,8,3
74,369,781,9,8,4,2
75,784,111,9,6,0,1
76,820,369,15,12,2,2
77,43,735,6,12,3,4
78,239,992,7,9,6,5
79,829,993,9,14,4,5
80,913,954,11,15,5,6
81,645,786,12,8,3,6
82,24,980,9,14,4,1
83,367,115,11,3,0,2
84,504,602,22,8,3,2
85,743,691,7,4,2,1
86,251,52,15,8,0,6
87,828,557,7,8,0,2
88,210,257,10,10,0,3
89,425,233,7,8,0,4
90,309,178,12,6,0,3
91,373,557,7,10,1,4
92,935,472,8,6,0,1
93,524,143,17,4,0,2
94,557,171,14,7,0,2
95,514,951,9,8,1,3
96,870,916,13,4,5,6
97,606,181,4,3,0,3
98,279,776,8,10,3,4
99,323,69,10,7,0,1
100,953,951,12,8,1,7
101,650,66,7,11,0,2
102,650,803,8,7,1,4
103,873,708,5,10,1,4
104,356,404,5,8,0,1
105,497,457,7,3,0,2
106,13,302,9,6,2,0
107,908,154,8,7,0,3
108,863,324,6,6,0,5
109,863,349,12,6,0,0
110,871,428,16,9,1,0
111,642,299,17,11,0,4
112,20,604,8,8,3,6
113,711,786,16,13,2,4
114,257,707,12,7,1,1
115,632,356,21,16,0,5
116,867,799,15,11,0,6
117,528,937,11,10,2,4
118,136,973,8,7,0,1
119,539,325,12,8,0,2
120,42,49,11,8,0,6
121,818,991,18,7,2,4
122,635,127,8,7,0,2
123,447,60,16,8,0,5
124,438,553,5,3,0,0
125,504,872,11,5,0,6
126,743,219,15,17,0,7
127,722,388,21,12,0,4
128,981,451,11,7,0,6
129,927,833,11,11,2,2
130,969,965,12,10,0,6
131,207,673,17,10,0,3
132,986,109,12,5,0,5
133,311,425,10,11,1,5
134,834,228,21,12,0,5
135,614,927,2,4,1,1
136,169,352,4,8,0,3
137,302,331,4,8,0,1
138,166,977,6,6,1,1
139,845,660,16,12,1,4
