ID,PHI,K,TP,TN,FP,FN,NHAM,NSPAM
2035,2.020755236,0.727800301,1460,1382,2,43,1462,1425
2036,2.854944801,2.478967727,1902,1707,6,76,1908,1783
2037,2.748761661,0.2569626217,1110,995,9,24,1119,1019
2038,4.383917084,2.009104556,925,836,4,34,929,870
2039,4.989382302,2.344351469,1882,1675,6,103,1888,1778
2040,2.92626447,1.268200484,1649,1614,8,63,1657,1677
2041,2.1261866,0.4745776254,1210,1100,6,36,1216,1136
2042,4.552901944,0.1618993206,1805,1688,8,42,1813,1730
2043,3.166322338,1.028939021,1562,1422,11,64,1573,1486
2044,4.410888779,2.288918725,905,821,4,51,909,872
2045,1.303265573,1.281071687,1593,1541,14,43,1607,1584
2046,1.788030065,1.472321597,1388,1224,9,48,1397,1272
2047,3.819403935,1.72906741,1049,945,6,55,1055,1000
2048,1.072058976,2.312747589,1064,901,3,34,1067,935
2049,1.896623184,2.378459024,1682,1581,9,74,1691,1655
2050,1.46067513,2.216982005,821,834,9,37,830,871
2051,2.280722486,1.767569791,647,623,2,25,649,648
2052,2.208603261,0.132607846,1804,1731,4,44,1808,1775
2053,1.244163222,1.420071868,1366,1260,9,53,1375,1313
2054,1.860230635,0.5723216399,1638,1460,7,47,1645,1507
2055,3.390712167,1.973739912,1803,1669,9,75,1812,1744
2056,3.433095071,1.702041034,1268,1121,4,49,1272,1170
2057,1.444482818,1.052803878,1505,1402,8,58,1513,1460
2058,3.527960743,0.3268820702,1499,1384,5,42,1504,1426
2059,3.534898642,0.6415294615,1040,1012,5,37,1045,1049
2060,2.152829565,1.938004028,1781,1604,6,70,1787,1674
2061,2.243967822,0.3444879294,1372,1282,10,34,1382,1316
2062,3.905071403,1.36624071,1343,1244,9,59,1352,1303
2063,1.191970095,0.5914096901,695,696,9,16,704,712
2064,1.731468574,1.01223306,1320,1245,8,43,1328,1288
2065,1.497160297,1.760210851,1063,939,5,48,1068,987
2066,4.191613402,0.1308695252,1479,1340,6,51,1485,1391
2067,3.377959162,0.07835993346,1273,1173,9,38,1282,1211
2068,4.987647,1.418753072,1373,1168,6,68,1379,1236
2069,1.312205127,1.100852121,700,645,5,17,705,662
2070,2.535674571,2.27404628,1374,1249,10,61,1384,1310
2071,3.761370127,1.572895172,1586,1516,1,68,1587,1584
2072,2.594032695,1.437021115,1473,1385,7,71,1480,1456
2073,3.95982138,0.5590474466,1041,920,4,41,1045,961
2074,3.494823328,0.06856251723,1010,995,4,26,1014,1021
2075,3.280387367,2.184447751,1158,1069,4,55,1162,1124
2076,1.639571383,1.272779005,719,658,0,27,719,685
2077,4.122244423,2.531846148,690,617,6,34,696,651
2078,1.272269782,0.6808216148,1147,1054,7,40,1154,1094
2079,1.804677296,1.910122047,1417,1238,7,63,1424,1301
2080,2.232261395,2.964104733,890,861,6,52,896,913
2081,1.362839295,0.4721176724,1044,967,4,28,1048,995
2082,1.110837978,2.287216362,1470,1357,6,45,1476,1402
2083,1.156467665,0.6610226582,1493,1409,10,34,1503,1443
2084,2.794183912,0.2811056389,1545,1530,6,42,1551,1572
2085,3.472288889,1.604671022,1618,1443,7,85,1625,1528
2086,1.476515567,2.386661703,901,902,3,28,904,930
2087,3.803137567,1.637562849,1057,956,3,48,1060,1004
2088,2.334199252,2.738104092,790,737,2,38,792,775
2089,4.008752948,1.469057089,1113,1108,3,40,1116,1148
2090,3.803452601,2.100983099,1406,1267,4,63,1410,1330
2091,4.48799165,2.528909184,760,735,1,34,761,769
2092,4.929737976,2.927103821,1497,1331,9,99,1506,1430
2093,3.904027676,0.4429638699,1746,1544,5,54,1751,1598
2094,2.866950186,1.986854653,1648,1474,5,82,1653,1556
2095,2.486472203,0.3387922949,887,884,3,26,890,910
2096,1.342901731,1.242342953,1511,1367,7,46,1518,1413
2097,4.97607564,0.05081080282,678,591,3,24,681,615
2098,3.072113031,2.311033618,1647,1497,8,64,1655,1561
2099,4.589329289,1.390742768,1038,903,3,45,1041,948
2100,2.259079388,0.9872634463,1475,1405,9,39,1484,1444
2101,1.265349887,0.5145878057,1373,1316,12,49,1385,1365
2102,2.365601995,2.446594943,1275,1137,3,61,1278,1198
2103,2.579969548,0.3374412304,1677,1621,4,60,1681,1681
2104,1.077613074,1.718844712,1772,1597,10,66,1782,1663
2105,1.082310613,0.106768373,996,1022,6,19,1002,1041
2106,1.729934132,0.6462928828,1682,1609,5,46,1687,1655
2107,3.463553428,2.008993756,940,808,1,39,941,847
2108,2.508800184,2.960578966,1422,1372,4,73,1426,1445
2109,2.611139635,1.598754078,1676,1577,7,65,1683,1642
2110,3.444353362,1.296931429,1011,966,3,48,1014,1014
2111,2.982090491,1.392244508,1806,1603,7,69,1813,1672
2112,2.389703089,2.997332645,1355,1256,4,48,1359,1304
2113,2.959275346,2.951997962,1144,1043,2,49,1146,1092
2114,1.555845143,1.438773231,1546,1431,12,56,1558,1487
2115,1.917572259,0.7608527141,1339,1285,4,37,1343,1322
2116,1.633437417,1.057044644,1287,1162,3,41,1290,1203
2117,2.848666496,2.30835158,1067,954,4,46,1071,1000
2118,3.646408012,2.38722798,1341,1242,4,70,1345,1312
2119,3.037981144,0.898449781,1872,1706,7,72,1879,1778
2120,3.627681561,1.878951567,859,821,2,41,861,862
2121,3.016985021,0.651768969,1608,1523,9,54,1617,1577
2122,3.537126731,1.805662942,1700,1598,11,72,1711,1670
2123,2.143304814,2.653334497,1142,1024,4,59,1146,1083
2124,2.065574512,2.396857631,897,867,7,40,904,907
2125,1.93933729,2.562951605,702,607,4,22,706,629
2126,1.150350429,2.561240048,1524,1518,5,67,1529,1585
2127,2.160429728,2.201835956,1117,1013,4,46,1121,1059
2128,3.280748497,1.65890012,890,819,4,49,894,868
2129,2.247299447,2.236885,695,672,2,35,697,707
2130,4.237515684,2.090200344,1737,1502,4,100,1741,1602
2131,1.927789118,2.100398756,905,897,4,40,909,937
2132,4.284025266,2.741608935,777,703,4,39,781,742
2133,3.26299253,1.33809736,1760,1519,5,67,1765,1586
2134,2.992646003,0.5894930293,1373,1277,4,40,1377,1317
