ID,PHI,K,TP,TN,FP,FN,NHAM,NSPAM
2515,1.964596501,2.891380606,559,525,2,50,561,575
2516,1.945026997,2.843713255,1297,1200,2,96,1299,1296
2517,4.945852787,3.453737981,590,564,1,51,591,615
2518,4.120649972,3.265771164,863,851,5,80,868,931
2519,3.519737474,1.932777802,1046,1018,3,70,1049,1088
2520,3.841105282,0.08072157943,1525,1532,11,78,1536,1610
2521,1.35556227,3.608346028,943,892,3,86,946,978
2522,4.276002699,2.459994935,1219,1143,5,99,1224,1242
2523,4.453243506,3.018332103,1447,1355,6,122,1453,1477
2524,3.53216671,3.974273585,992,947,2,100,994,1047
2525,2.300669338,0.2838115021,1208,1155,7,44,1215,1199
2526,3.76673653,3.528383905,1452,1321,3,115,1455,1436
2527,1.62467739,3.79184555,1163,1090,6,91,1169,1181
2528,4.049979042,1.334300868,798,672,3,47,801,719
2529,2.642073885,1.566381907,1368,1330,9,69,1377,1399
2530,3.616325596,1.334513822,844,827,4,54,848,881
2531,2.032114425,1.777732828,684,642,3,51,687,693
2532,1.023062462,1.444447527,1026,1074,5,50,1031,1124
2533,1.433467812,0.00808086684,1214,1142,8,39,1222,1181
2534,2.949926272,2.370566445,1500,1386,3,120,1503,1506
2535,5.740931054,2.644040497,1435,1400,5,119,1440,1519
2536,1.023666422,2.744553653,1402,1280,9,98,1411,1378
2537,4.078309819,1.500774373,1056,969,4,86,1060,1055
2538,1.654903196,3.424592811,1525,1459,6,118,1531,1577
2539,2.863474334,2.489052652,1147,1091,5,95,1152,1186
2540,1.441474111,0.1083450723,1335,1311,8,61,1343,1372
2541,3.564275841,0.6365337662,681,692,4,33,685,725
2542,1.21340213,3.321511133,1523,1397,5,101,1528,1498
2543,3.867843008,0.2287777201,1049,934,7,48,1056,982
2544,1.05964561,2.147401013,866,886,4,50,870,936
2545,3.304561436,1.380444875,846,822,4,60,850,882
2546,3.299256281,2.846291758,868,808,1,82,869,890
2547,1.14894164,3.51751757,958,879,3,58,961,937
2548,4.273680429,0.7072600425,622,538,6,41,628,579
2549,1.974887388,3.699981207,1196,1095,2,73,1198,1168
2550,4.787262485,3.444398032,871,814,1,73,872,887
2551,2.425296535,3.987931783,570,544,1,63,571,607
2552,5.560445616,0.3361944675,871,850,5,49,876,899
2553,3.046258679,2.779353769,1136,1014,5,78,1141,1092
2554,3.081286772,2.383505008,948,885,4,76,952,961
2555,1.566244074,0.5478850267,1364,1307,9,68,1373,1375
2556,3.184530318,3.972971591,1387,1283,3,118,1390,1401
2557,2.570400592,0.3735662624,1291,1238,4,61,1295,1299
2558,2.400634633,3.663374596,1269,1188,1,105,1270,1293
2559,5.031218509,0.7788096545,1236,1107,6,88,1242,1195
2560,3.313731957,0.1646803969,1426,1358,6,64,1432,1422
2561,3.482731157,2.212388712,1145,1113,2,79,1147,1192
2562,5.142145779,2.569738697,578,522,2,45,580,567
2563,4.213928301,1.464854125,714,659,2,47,716,706
2564,3.039137667,3.524526241,1349,1317,5,124,1354,1441
2565,3.333813983,1.608736775,663,643,0,45,663,688
2566,1.173383171,2.835282694,1073,990,9,72,1082,1062
2567,5.363610036,1.740320306,901,822,6,72,907,894
2568,1.548503578,1.580062945,931,944,3,60,934,1004
2569,2.68150294,0.1188144263,576,610,5,27,581,637
2570,4.53885568,0.701499456,891,854,1,67,892,921
2571,1.612088428,3.714760852,1244,1195,6,115,1250,1310
2572,2.125129538,0.6691186175,1298,1229,6,78,1304,1307
2573,4.820166628,1.12308194,935,971,2,60,937,1031
2574,2.847579112,1.669438401,576,579,2,48,578,627
2575,5.936747446,3.096110787,867,840,2,80,869,920
2576,3.447440995,2.629992658,905,817,4,58,909,875
2577,3.448122587,1.853754989,648,523,3,41,651,564
2578,2.388783029,3.88375364,1056,991,6,93,1062,1084
2579,2.454199243,0.5881416805,1554,1380,4,74,1558,1454
2580,2.245904664,2.884780219,1050,1015,6,77,1056,1092
2581,5.959834961,3.745713708,1309,1177,3,137,1312,1314
2582,5.654268355,1.748856727,1160,1053,4,85,1164,1138
2583,4.245136152,1.029103916,1514,1409,5,97,1519,1506
2584,3.113296453,0.3672966404,1104,1010,5,65,1109,1075
2585,4.999837067,3.281303883,987,868,4,89,991,957
2586,1.339732613,2.966231356,1461,1390,6,88,1467,1478
2587,3.636218024,1.709000507,621,553,1,34,622,587
2588,4.884759863,0.03514982912,1585,1568,6,62,1591,1630
2589,5.160135574,2.00037031,1216,1096,2,95,1218,1191
2590,2.845771861,0.287752512,910,828,3,43,913,871
2591,1.697774505,2.126288561,1574,1481,4,101,1578,1582
2592,1.083746238,0.7483586234,994,930,7,35,1001,965
2593,3.811788203,0.4799881287,886,816,4,52,890,868
2594,5.764196401,1.747133146,1170,1102,4,92,1174,1194
2595,2.568877672,1.050148365,1568,1554,7,96,1575,1650
2596,2.662756517,0.7674539736,1285,1208,10,68,1295,1276
2597,5.04590521,0.1214941684,1261,1225,7,61,1268,1286
2598,3.507665911,0.9928262405,1206,1222,5,85,1211,1307
2599,1.242133607,1.80036779,703,681,2,48,705,729
2600,1.299889805,1.073802636,1545,1451,9,86,1554,1537
2601,3.832826389,0.3902805738,1390,1296,4,74,1394,1370
2602,1.802349412,2.653774296,1296,1145,1,84,1297,1229
2603,3.684896141,2.937850754,1198,1137,5,110,1203,1247
2604,3.464791388,3.960790795,777,697,3,72,780,769
2605,5.481869361,0.5144668898,1549,1513,7,97,1556,1610
2606,2.301084788,2.511697468,992,942,0,60,992,1002
2607,1.236147047,0.335683012,836,748,3,46,839,794
2608,4.747541503,1.311105217,1238,1227,3,73,1241,1300
2609,3.681536002,3.422239576,1303,1135,3,113,1306,1248
2610,1.907254957,3.489479115,1283,1179,4,94,1287,1273
2611,2.175750089,1.734733922,665,681,1,55,666,736
2612,1.639606804,1.563221527,864,833,3,48,867,881
2613,4.86570877,1.886591665,668,659,0,48,668,707
2614,3.879760501,3.64071416,985,871,6,80,991,951
2615,4.8185376,1.916370352,1508,1347,10,115,1518,1462
2616,2.995917955,3.986864072,1443,1332,4,130,1447,1462
2617,5.251636079,2.965746348,723,622,1,54,724,676
2618,2.674369513,2.76495215,663,642,5,43,668,685
2619,4.397536149,3.399532922,779,730,2,68,781,798
2620,5.095211218,1.979109357,668,631,3,49,671,680
2621,4.961796575,1.000723951,1283,1203,4,87,1287,1290
2622,2.280156735,1.939424296,1424,1397,2,96,1426,1493
2623,1.156822167,1.395685805,1450,1407,8,74,1458,1481
2624,4.718754241,0.8480847515,1617,1547,7,91,1624,1638
2625,3.822608794,1.80573069,1248,1181,3,91,1251,1272
2626,3.693754533,0.6152333268,763,742,6,62,769,804
2627,1.292181518,2.16218434,1559,1472,9,97,1568,1569
2628,2.029083847,2.902934202,1036,992,2,76,1038,1068
2629,2.119035508,0.2245188165,594,626,3,31,597,657
2630,3.576131439,0.8523174103,763,759,6,47,769,806
2631,4.971723219,2.800965157,1259,1160,2,117,1261,1277
2632,5.701628121,0.2796637123,1087,1040,8,56,1095,1096
2633,5.287336227,2.608872099,695,645,4,65,699,710
2634,5.081876689,1.458478853,801,744,3,52,804,796
2635,2.745085026,0.3577664066,593,565,4,32,597,597
2636,5.334787535,2.333586329,667,627,3,64,670,691
2637,2.057456977,2.988838862,695,637,2,54,697,691
2638,1.086275884,2.610269258,673,665,2,32,675,697
2639,5.527388939,3.157905658,1186,1069,4,121,1190,1190
2640,2.230983469,3.023276806,1514,1348,5,104,1519,1452
2641,5.782195903,3.995579352,1287,1140,0,138,1287,1278
2642,3.701107466,0.421409256,1377,1299,8,70,1385,1369
2643,5.116045261,2.749569277,757,730,3,63,760,793
2644,5.377509087,2.364808022,1205,1097,2,95,1207,1192
2645,2.728917178,3.482701193,980,930,3,82,983,1012
2646,3.346393725,2.919959901,981,906,0,80,981,986
2647,1.457355829,0.3905088561,1202,1109,7,55,1209,1164
2648,2.660116855,1.894473248,1354,1311,6,110,1360,1421
2649,5.654990072,3.708735016,1577,1427,2,170,1579,1597
2650,5.940631397,2.839780892,1169,1059,6,120,1175,1179
2651,2.935260315,3.793502549,1293,1245,1,119,1294,1364
2652,2.08405759,0.07911369637,1187,1126,11,50,1198,1176
2653,1.205366856,1.289663718,921,865,3,50,924,915
2654,1.508728609,0.9708001011,1318,1340,8,90,1326,1430
2655,5.991375156,2.722754823,724,703,2,67,726,770
2656,2.567982986,0.5193909539,820,732,3,49,823,781
2657,1.150711168,2.028063115,1100,1047,6,49,1106,1096
2658,4.609620733,3.573227643,1199,1093,3,108,1202,1201
2659,2.720019725,1.791673343,1336,1246,3,102,1339,1348
2660,1.866358391,0.3467771434,1355,1344,5,68,1360,1412
2661,1.348201014,3.67178866,572,539,3,38,575,577
2662,1.052066551,3.567048278,1252,1179,4,86,1256,1265
2663,3.590929959,1.315688618,814,821,1,55,815,876
2664,2.695155427,1.813919743,1587,1383,11,101,1598,1484
2665,5.237734461,2.788665815,697,646,2,53,699,699
2666,5.269502395,2.140687881,1398,1242,7,131,1405,1373
2667,3.765193939,0.02549367063,879,915,3,44,882,959
2668,4.076199235,2.602143957,674,672,2,58,676,730
2669,1.429003013,2.951164463,1490,1384,6,100,1496,1484
2670,5.739562314,1.554346962,1096,976,6,92,1102,1068
2671,4.999914461,3.132114654,1071,979,8,92,1079,1071
2672,2.476189914,2.198291032,1469,1317,3,113,1472,1430
2673,1.00009969,2.651616322,993,906,2,68,995,974
2674,1.748219074,3.66122342,895,858,1,83,896,941
2675,3.623623034,2.942473699,1333,1353,6,120,1339,1473
2676,1.15944593,1.535768759,609,534,2,28,611,562
2677,4.881110448,2.750701923,897,801,3,69,900,870
2678,3.238756479,3.015801129,1555,1464,2,138,1557,1602
2679,1.52957612,1.755166025,1182,1090,6,65,1188,1155
2680,5.267054974,2.784236472,1091,1045,4,91,1095,1136
2681,4.912732299,1.29211722,1553,1445,12,94,1565,1539
2682,3.872828059,0.7671209449,981,936,1,65,982,1001
2683,1.637838294,1.468553864,1476,1430,10,82,1486,1512
2684,5.368802342,3.386647419,1169,1136,2,106,1171,1242
2685,4.419162284,2.696735939,1381,1287,6,104,1387,1391
2686,2.737231789,2.438936181,1109,1043,2,73,1111,1116
2687,4.666741405,2.916593496,670,623,0,43,670,666
2688,5.527128276,0.176463915,816,720,5,43,821,763
2689,3.657544174,2.535275341,605,558,2,49,607,607
2690,5.789754053,3.954535253,1583,1406,1,129,1584,1535
2691,2.097750579,0.6418849123,650,693,3,29,653,722
2692,2.078364837,2.096323703,1174,1147,3,74,1177,1221
2693,3.02939073,0.7646572373,724,672,3,42,727,714
2694,3.835756064,1.863647067,1234,1112,5,79,1239,1191
2695,1.527735338,0.4636331911,1290,1205,4,60,1294,1265
2696,5.802063895,2.517607137,991,880,2,75,993,955
2697,1.324462755,3.310030195,1127,990,5,70,1132,1060
2698,1.097109403,1.673736315,702,664,5,36,707,700
2699,4.929840699,3.491508935,662,646,0,75,662,721
2700,3.344709712,1.94743271,1478,1321,0,106,1478,1427
2701,2.899507386,2.154155746,796,702,1,49,797,751
2702,5.481439456,3.54294009,1295,1184,4,111,1299,1295
2703,2.629774021,3.015878001,1504,1378,3,104,1507,1482
2704,5.074218216,3.162175305,1618,1369,3,149,1621,1518
2705,3.452981029,2.333063035,1117,968,5,72,1122,1040
2706,5.435956523,1.665431439,968,871,4,74,972,945
